id,Created date (UTC),Amount,Amount Refunded,Currency,Captured,Converted Amount,Converted Amount Refunded,Converted Currency,Decline Reason,Description,Fee,Refunded date (UTC),Statement Descriptor,Status,Seller Message,Taxes On Fee,Card ID,Customer ID,Customer Description,Customer Email,Invoice ID,Transfer,altType (metadata),altId (metadata),contactId (metadata),orderId (metadata),appBuildNumber (metadata),osVersion (metadata),appBundleId (metadata),deviceName (metadata),os (metadata),paymentRecordedBy (metadata),appVersion (metadata),deviceId (metadata),locationId (metadata),verifyMinimumValueToPay (metadata),invoiceId (metadata),invoiceNumber (metadata)
ch_3QzRRxDZFCHKRKiu094DWw2h,2025-03-05 23:34:57,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000045,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QzRSnDZFCHKRKiuIqHArgxY,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QzSoWDZFCHKRKiuLEjKEpej,,,,,709,16.4.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,2ade90f5-25e7-4d61-8711-87cbc0c8b912,iKsPMfXHpb72ufGUuJLo,,67c8df690bb4ccbf2c73d20f,000045
ch_3QzRNTDZFCHKRKiu2ZEBiIBU,2025-03-05 23:30:24,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000044,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QzROODZFCHKRKius71RfW9E,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QzSoWDZFCHKRKiuLEjKEpej,,,,,709,16.4.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,2ade90f5-25e7-4d61-8711-87cbc0c8b912,iKsPMfXHpb72ufGUuJLo,,67c8de5476f197885a68d408,000044
ch_3QzRJqDZFCHKRKiu1kWnfgdp,2025-03-05 23:27:14,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000043,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QzRLKDZFCHKRKiu69vinydj,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QzSoWDZFCHKRKiuLEjKEpej,,,,,709,17.5.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,cc350f90-7fa7-4ee9-b4c2-a5d600c949b6,iKsPMfXHpb72ufGUuJLo,,67c8dd7376f1977c2c68d3b6,000043
ch_3QzRFVDZFCHKRKiu3dNyzprI,2025-03-05 23:21:55,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000042,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QzRGBDZFCHKRKiud8PadFdk,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QzSoWDZFCHKRKiuLEjKEpej,,,,,709,16.4.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,2ade90f5-25e7-4d61-8711-87cbc0c8b912,iKsPMfXHpb72ufGUuJLo,,67c8dc670bb4cc5b5273d146,000042
ch_3QzQyJDZFCHKRKiu09q8tPrF,2025-03-05 23:04:11,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000041,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QzQz1DZFCHKRKiuqlMVuOQM,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QzSoWDZFCHKRKiuLEjKEpej,,,,,709,16.4.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,2ade90f5-25e7-4d61-8711-87cbc0c8b912,iKsPMfXHpb72ufGUuJLo,,67c8d83876f197720168d216,000041
ch_3QzQppDZFCHKRKiu2PR4RQbB,2025-03-05 22:55:30,63.72,0.00,usd,true,63.72,0.00,usd,,Payment for invoice 000039,2.15,,THE GENI,Paid,Payment complete.,0.00,pm_1QzQqbDZFCHKRKiuN7qvoQA2,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QzSoWDZFCHKRKiuLEjKEpej,,,,,709,17.5.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,cc350f90-7fa7-4ee9-b4c2-a5d600c949b6,iKsPMfXHpb72ufGUuJLo,,67c8d62f0bb4cc27b173cf54,000039
ch_3QzQmjDZFCHKRKiu0XaS09Yb,2025-03-05 22:52:28,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000038,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QzQnfDZFCHKRKiufrfD6y8V,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QzSoWDZFCHKRKiuLEjKEpej,,,,,709,17.5.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,cc350f90-7fa7-4ee9-b4c2-a5d600c949b6,iKsPMfXHpb72ufGUuJLo,,67c8d56d0bb4cc447673cf06,000038
ch_3QzQlRDZFCHKRKiu2GwSzsTg,2025-03-05 22:50:53,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000036,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QzQm9DZFCHKRKiuNjX6dHUG,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QzSoWDZFCHKRKiuLEjKEpej,,,,,709,16.4.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,2ade90f5-25e7-4d61-8711-87cbc0c8b912,iKsPMfXHpb72ufGUuJLo,,67c8d51f5f18d0b98f6e0b36,000036
ch_3QzQi6DZFCHKRKiu3W5qxdKL,2025-03-05 22:48:25,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000034,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QzQjlDZFCHKRKiuAPgiZy53,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QzSoWDZFCHKRKiuLEjKEpej,,,,,709,16.4.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,2ade90f5-25e7-4d61-8711-87cbc0c8b912,iKsPMfXHpb72ufGUuJLo,,67c8d4510bb4ccbca473cea9,000034
ch_3QzQhfDZFCHKRKiu0BMTmk4X,2025-03-05 22:47:10,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000033,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QzQiYDZFCHKRKiucZAl5nAI,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QzSoWDZFCHKRKiuLEjKEpej,,,,,709,17.5.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,cc350f90-7fa7-4ee9-b4c2-a5d600c949b6,iKsPMfXHpb72ufGUuJLo,,67c8d43576f197207a68d098,000033
ch_3QzQfHDZFCHKRKiu08S7xn72,2025-03-05 22:45:28,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000031,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QzQguDZFCHKRKiu0osQ6Q8J,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QzSoWDZFCHKRKiuLEjKEpej,,,,,709,17.5.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,cc350f90-7fa7-4ee9-b4c2-a5d600c949b6,iKsPMfXHpb72ufGUuJLo,,67c8d3a176f197052f68d051,000031
ch_3QzQdrDZFCHKRKiu1DI6Gk9x,2025-03-05 22:43:01,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000030,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QzQeXDZFCHKRKiusSlRnPsc,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QzSoWDZFCHKRKiuLEjKEpej,,,,,709,17.5.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,cc350f90-7fa7-4ee9-b4c2-a5d600c949b6,iKsPMfXHpb72ufGUuJLo,,67c8d3495f18d0275f6e0a50,000030
ch_3QyyXcDZFCHKRKiu0IqX2GUc,2025-03-04 16:46:22,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000024,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QyybqDZFCHKRKiu4gR5P6pq,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1Qz6UBDZFCHKRKiuUnAXWpbt,,,,,709,17.5.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,cc350f90-7fa7-4ee9-b4c2-a5d600c949b6,iKsPMfXHpb72ufGUuJLo,,67c72d56a4a543b5b9afcf19,000024
ch_3Qw8ZTDZFCHKRKiu3bGMS6sT,2025-02-24 20:48:37,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000021,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1Qw8ZtDZFCHKRKiufqbs2LYW,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QwCv5DZFCHKRKiuK3c494T5,,,,,709,17.5.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,cc350f90-7fa7-4ee9-b4c2-a5d600c949b6,iKsPMfXHpb72ufGUuJLo,,67bcdb0984e7d11bbc0e98ab,000021
ch_3QuI97DZFCHKRKiu0vlFxMKD,2025-02-19 18:38:02,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000020,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QuI9mDZFCHKRKiuVGeUcXoo,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QuOBHDZFCHKRKiuqvUh7yiL,,,,,709,17.5.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,cc350f90-7fa7-4ee9-b4c2-a5d600c949b6,iKsPMfXHpb72ufGUuJLo,,67b624de5bae3f85f36ff8f2,000020
ch_3QuI07DZFCHKRKiu3yW7Rcyf,2025-02-19 18:28:35,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000019,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QuI0dDZFCHKRKiu6IBMObNj,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QuOBHDZFCHKRKiuqvUh7yiL,,,,,709,17.5.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,cc350f90-7fa7-4ee9-b4c2-a5d600c949b6,iKsPMfXHpb72ufGUuJLo,,67b622b05bae3f50e56ff809,000019
ch_3QuHzlDZFCHKRKiu1PXC1FyZ,2025-02-19 18:28:23,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000018,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QuI0QDZFCHKRKiu0DahZ3ql,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QuOBHDZFCHKRKiuqvUh7yiL,,,,,709,16.4.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,2ade90f5-25e7-4d61-8711-87cbc0c8b912,iKsPMfXHpb72ufGUuJLo,,67b6229b9a0025a7b4f3a38b,000018
ch_3QuHx8DZFCHKRKiu1FUYH8Z4,2025-02-19 18:25:34,63.72,0.00,usd,true,63.72,0.00,usd,,Payment for invoice 000017,2.15,,THE GENI,Paid,Payment complete.,0.00,pm_1QuHxiDZFCHKRKiuygLnPQEa,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QuOBHDZFCHKRKiuqvUh7yiL,,,,,709,17.5.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,cc350f90-7fa7-4ee9-b4c2-a5d600c949b6,iKsPMfXHpb72ufGUuJLo,,67b621f693ca38d4e10321ad,000017
ch_3QuHVADZFCHKRKiu29hxXuT0,2025-02-19 17:56:41,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000015,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QuHVlDZFCHKRKiuCvPgnyfi,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QuOBHDZFCHKRKiuqvUh7yiL,,,,,709,16.4.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,2ade90f5-25e7-4d61-8711-87cbc0c8b912,iKsPMfXHpb72ufGUuJLo,,67b61b1093ca387925031f7e,000015
ch_3QuHKrDZFCHKRKiu0m1r2yrm,2025-02-19 17:45:49,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000013,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QuHLFDZFCHKRKiuHYCv2gVT,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QuOBHDZFCHKRKiuqvUh7yiL,,,,,709,16.4.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,2ade90f5-25e7-4d61-8711-87cbc0c8b912,iKsPMfXHpb72ufGUuJLo,,67b618a99a00257de3f3a049,000013
ch_3QuGqlDZFCHKRKiu1hJXs6Sr,2025-02-19 17:14:45,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000010,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1QuGrBDZFCHKRKiu43OAJg8i,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1QuOBHDZFCHKRKiuqvUh7yiL,,,,,709,16.4.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,2ade90f5-25e7-4d61-8711-87cbc0c8b912,iKsPMfXHpb72ufGUuJLo,,67b611695bae3f45a16ff2c4,000010
ch_3Qm23PDZFCHKRKiu1NcAiRCS,2025-01-27 23:49:20,19.99,0.00,usd,true,19.99,0.00,usd,,Payment for invoice 000003,0.88,,JAGB-THE GENI,Paid,Payment complete.,0.00,pm_1Qm23PDZFCHKRKiuAEaZ6ZpR,cus_RfMmefrluratPK,,cbzwebster59@yahoo.com,,po_1QnrasDZFCHKRKiuOcZiwbOo,,,,,,,,,,,,,iKsPMfXHpb72ufGUuJLo,true,6797ee59eac58127895e62d8,000003
ch_3Qlz36DZFCHKRKiu2AFY42dO,2025-01-27 20:36:49,19.99,0.00,usd,true,19.99,0.00,usd,,Payment for invoice 000001,0.88,,JAGB-THE GENI,Paid,Payment complete.,0.00,pm_1Qlz37DZFCHKRKiuqvdCqDxK,cus_RfJgUpWnXFg9Vo,,kuleszka@comcast.net,,po_1QnrasDZFCHKRKiuOcZiwbOo,,,,,,,,,,,,,iKsPMfXHpb72ufGUuJLo,true,6797e30ae9852d296bf9b3fc,000001
