id,Created date (UTC),Amount,Amount Refunded,Currency,Captured,Converted Amount,Converted Amount Refunded,Converted Currency,Decline Reason,Description,Fee,Refunded date (UTC),Statement Descriptor,Status,Seller Message,Taxes On Fee,Card ID,Customer ID,Customer Description,Customer Email,Invoice ID,Transfer,deviceId (metadata),invoiceId (metadata),deviceName (metadata),invoiceNumber (metadata),appBundleId (metadata),locationId (metadata),osVersion (metadata),os (metadata),paymentRecordedBy (metadata),appVersion (metadata),appBuildNumber (metadata)
ch_3RWer2B4WEOTAzAb0ZDkuIhV,2025-06-05 14:33:23,1.50,0.00,usd,true,1.50,0.00,usd,,Payment for invoice 000188,0.09,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RWer9B4WEOTAzAbC6vNBGQX,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RXXewB4WEOTAzAbgdpzSu2i,0e40f952-7841-4faf-91b5-5b5d2ad970e1,6841aaab51dc54a2f7057e2d,iPhone,000188,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RWelcB4WEOTAzAb1EEIeaZi,2025-06-05 14:28:09,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000187,0.10,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RWem5B4WEOTAzAbz6ZHuof1,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RXXewB4WEOTAzAbgdpzSu2i,0e40f952-7841-4faf-91b5-5b5d2ad970e1,6841a95b72608eb55b7e427c,iPhone,000187,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RWejtB4WEOTAzAb0Myh1aW5,2025-06-05 14:26:48,3.00,0.00,usd,true,3.00,0.00,usd,,Payment for invoice 000186,0.13,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RWekmB4WEOTAzAb7WORX3tM,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RXXewB4WEOTAzAbgdpzSu2i,0e40f952-7841-4faf-91b5-5b5d2ad970e1,6841a8ef72608e9e277e4257,iPhone,000186,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RWeTtB4WEOTAzAb0BmKJ9rN,2025-06-05 14:09:27,1.50,0.00,usd,true,1.50,0.00,usd,,Payment for invoice 000185,0.09,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RWeTzB4WEOTAzAbxUPqK2Pk,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RXXewB4WEOTAzAbgdpzSu2i,0e40f952-7841-4faf-91b5-5b5d2ad970e1,6841a51072608e759d7e418c,iPhone,000185,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RWcpKB4WEOTAzAb1IUtLNBc,2025-06-05 12:23:25,2.50,0.00,usd,true,2.50,0.00,usd,,Payment for invoice 000184,0.12,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RWcpNB4WEOTAzAb4RhKhbD9,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RXXewB4WEOTAzAbgdpzSu2i,0e40f952-7841-4faf-91b5-5b5d2ad970e1,68418c39d55adb1dcec24971,iPhone,000184,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RWIThB4WEOTAzAb1Z7Vmrwi,2025-06-04 14:39:44,3.00,0.00,usd,true,3.00,0.00,usd,,Payment for invoice 000182,0.13,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RWITjB4WEOTAzAba7wJPoc5,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RWSHZB4WEOTAzAbpRtXR9oX,0e40f952-7841-4faf-91b5-5b5d2ad970e1,68405aabd55adbfc1ec1feff,iPhone,000182,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RWISGB4WEOTAzAb1Z4IO6U1,2025-06-04 14:38:18,3.50,0.00,usd,true,3.50,0.00,usd,,Payment for invoice 000181,0.14,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RWISLB4WEOTAzAbgAaXwJEM,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RWSHZB4WEOTAzAbpRtXR9oX,0e40f952-7841-4faf-91b5-5b5d2ad970e1,68405a53284b33463b08a489,iPhone,000181,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RVw3TB4WEOTAzAb1vX918GH,2025-06-03 14:43:21,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000180,0.10,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RVw3hB4WEOTAzAbDhkCqb8P,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RW60MB4WEOTAzAbNlGRV3Ms,0e40f952-7841-4faf-91b5-5b5d2ad970e1,683f09f973f86047403b14f2,iPhone,000180,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RVw2NB4WEOTAzAb1Nm9A0RF,2025-06-03 14:42:06,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000179,0.10,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RVw2UB4WEOTAzAbvl0nUGJY,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RW60MB4WEOTAzAbNlGRV3Ms,0e40f952-7841-4faf-91b5-5b5d2ad970e1,683f09b6522d310ee558b488,iPhone,000179,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RVvw3B4WEOTAzAb04zij0df,2025-06-03 14:35:37,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000177,0.08,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RVvwDB4WEOTAzAbCVvd4ByD,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RW60MB4WEOTAzAbNlGRV3Ms,0e40f952-7841-4faf-91b5-5b5d2ad970e1,683f082e890b0eeff6ae84c8,iPhone,000177,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RVtxoB4WEOTAzAb0wmMgfE3,2025-06-03 12:29:18,1.50,0.00,usd,true,1.50,0.00,usd,,Payment for invoice 000173,0.09,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RVtxyB4WEOTAzAbhW2SQmax,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RW60MB4WEOTAzAbNlGRV3Ms,1e6f995d-8ee0-45c5-bb56-9b4989f34823,683eea93d092327994d51f53,iPhone,000173,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.1.1,ios,WukLb4F6p8uYVSyYyPvT,3.98.1,743
ch_3RVtvEB4WEOTAzAb1UMKRQpV,2025-06-03 12:26:43,2.50,0.00,usd,true,2.50,0.00,usd,,Payment for invoice 000171,0.12,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RVtvTB4WEOTAzAbphDou51h,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RW60MB4WEOTAzAbNlGRV3Ms,b2e7e247-f4d8-4a4d-aa5f-81cc8e555caa,683ee9f3d092320288d51f33,iPhone,000171,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,15s37xHOdcoGGr1fvZMd,3.98.1,743
ch_3RUSJzB4WEOTAzAb18eWMDeK,2025-05-30 12:46:12,0.50,0.00,usd,true,0.50,0.00,usd,,Payment for invoice 000165,0.06,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RUSK8B4WEOTAzAbwvdrpCEn,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RVN1fB4WEOTAzAbjLHSnHSh,33924e80-4827-45eb-b284-7bb28a679c4e,6839a88a3787105614d4652f,iPhone,000165,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,hCycWetAeXYk92DYgUeU,3.98.1,743
ch_3RUSAiB4WEOTAzAb0BKKPZr8,2025-05-30 12:36:45,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000164,0.10,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RUSAzB4WEOTAzAbgCbL0d21,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RVN1fB4WEOTAzAbjLHSnHSh,33924e80-4827-45eb-b284-7bb28a679c4e,6839a64bd092320e87d3fdb3,iPhone,000164,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,hCycWetAeXYk92DYgUeU,3.98.1,743
ch_3RUBS2B4WEOTAzAb0hfAhkf1,2025-05-29 18:45:23,3.50,0.00,usd,true,3.50,0.00,usd,,Payment for invoice 000163,0.14,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RUBSBB4WEOTAzAbUEuK4qMz,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RV0OBB4WEOTAzAbkGywH1gt,c42bde2a-56b6-4a2f-84c7-60902adf35ab,6838ab3a3b00c3a7097e6768,iPhone,000163,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,KWEJtwBrs80j2I9gBYuR,3.98.1,743
ch_3RUBOAB4WEOTAzAb1YJA0rBi,2025-05-29 18:41:17,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000162,0.08,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RUBODB4WEOTAzAby9V7zJnS,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RV0OBB4WEOTAzAbkGywH1gt,c42bde2a-56b6-4a2f-84c7-60902adf35ab,6838aa49d092329ec7d3db2f,iPhone,000162,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,KWEJtwBrs80j2I9gBYuR,3.98.1,743
ch_3RUBMNB4WEOTAzAb10V3IHbx,2025-05-29 18:39:27,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000161,0.08,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RUBMRB4WEOTAzAbsSia5wv4,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RV0OBB4WEOTAzAbkGywH1gt,c42bde2a-56b6-4a2f-84c7-60902adf35ab,6838a9da3787108a0fd442f0,iPhone,000161,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,KWEJtwBrs80j2I9gBYuR,3.98.1,743
ch_3RUBLZB4WEOTAzAb1P0wjedJ,2025-05-29 18:38:42,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000160,0.10,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RUBLiB4WEOTAzAbgTAh87o9,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RV0OBB4WEOTAzAbkGywH1gt,c42bde2a-56b6-4a2f-84c7-60902adf35ab,6838a9a83787103409d442e4,iPhone,000160,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,KWEJtwBrs80j2I9gBYuR,3.98.1,743
ch_3RTl8QB4WEOTAzAb0eUFBcjv,2025-05-28 14:39:29,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000157,0.08,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RTl8eB4WEOTAzAbTfSbiNpv,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RTv1ZB4WEOTAzAbmDB8UBZn,33924e80-4827-45eb-b284-7bb28a679c4e,6837201254a5f562007059c8,iPhone,000157,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,hCycWetAeXYk92DYgUeU,3.98.1,743
ch_3RTl1NB4WEOTAzAb1GCLAWX4,2025-05-28 14:32:06,1.50,0.00,usd,true,1.50,0.00,usd,,Payment for invoice 000156,0.09,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RTl1WB4WEOTAzAb7nyFESTM,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RTv1ZB4WEOTAzAbmDB8UBZn,33924e80-4827-45eb-b284-7bb28a679c4e,68371e5cd09232444cd386cb,iPhone,000156,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,hCycWetAeXYk92DYgUeU,3.98.1,743
ch_3RTSPBB4WEOTAzAb1fldaSDs,2025-05-27 18:39:22,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000154,0.08,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RTSPGB4WEOTAzAbEqEvHBih,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RTYi6B4WEOTAzAb6D6gg4FJ,33924e80-4827-45eb-b284-7bb28a679c4e,683606d4d1d416e594293e07,iPhone,000154,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,hCycWetAeXYk92DYgUeU,3.98.1,743
ch_3RTSO4B4WEOTAzAb1fc90IfO,2025-05-27 18:38:32,2.50,0.00,usd,true,2.50,0.00,usd,,Payment for invoice 000153,0.12,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RTSOSB4WEOTAzAbnlpGoK7v,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RTYi6B4WEOTAzAb6D6gg4FJ,33924e80-4827-45eb-b284-7bb28a679c4e,6836068f1cea571353350419,iPhone,000153,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,hCycWetAeXYk92DYgUeU,3.98.1,743
ch_3RTSN1B4WEOTAzAb1DHCyZny,2025-05-27 18:37:07,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000152,0.10,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RTSN5B4WEOTAzAbGotaV6jN,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RTYi6B4WEOTAzAb6D6gg4FJ,33924e80-4827-45eb-b284-7bb28a679c4e,6836064ed1d416433c293dea,iPhone,000152,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,hCycWetAeXYk92DYgUeU,3.98.1,743
ch_3RTSMBB4WEOTAzAb0BTCFrVM,2025-05-27 18:36:23,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000151,0.08,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RTSMNB4WEOTAzAbBhkx5coN,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RTYi6B4WEOTAzAb6D6gg4FJ,33924e80-4827-45eb-b284-7bb28a679c4e,6836061a2cb697f27ce8a9c7,iPhone,000151,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,hCycWetAeXYk92DYgUeU,3.98.1,743
ch_3RTS5QB4WEOTAzAb1rxezRjj,2025-05-27 18:18:59,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000150,0.08,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RTS5XB4WEOTAzAbXp8YoF0q,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RTYi6B4WEOTAzAb6D6gg4FJ,0e40f952-7841-4faf-91b5-5b5d2ad970e1,6836020b2cb697e21ce8a84c,iPhone,000150,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RTQ2uB4WEOTAzAb19vSKTud,2025-05-27 16:08:18,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000149,0.10,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RTQ33B4WEOTAzAbxJoWX8yn,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RTYi6B4WEOTAzAb6D6gg4FJ,fed24191-59f6-4c2a-9aee-f5f1b41126a2,6835e3671cea57c25534f9d9,SM-S901U,000149,com.gohighlevel,Zksj53iga8hYgcS6RbXd,15,android,hF1OciCadlByeJRMIhaY,3.98.1,743
ch_3RTQ25B4WEOTAzAb1qA18Dp4,2025-05-27 16:07:47,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000148,0.10,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RTQ2YB4WEOTAzAb49eYDALK,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RTYi6B4WEOTAzAb6D6gg4FJ,fed24191-59f6-4c2a-9aee-f5f1b41126a2,6835e3342cb6974287e89fe2,SM-S901U,000148,com.gohighlevel,Zksj53iga8hYgcS6RbXd,15,android,hF1OciCadlByeJRMIhaY,3.98.1,743
ch_3RS0WsB4WEOTAzAb15sjOX0g,2025-05-23 18:41:23,1.50,0.00,usd,true,1.50,0.00,usd,,Payment for invoice 000145,0.09,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RS0X1B4WEOTAzAb5U5Od4dt,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RTC80B4WEOTAzAbomYiDUee,6825ae6c-3b7b-4f1e-b879-9027e911d1f2,6830c14954a5f546126f666b,SM-G975U1,000145,com.gohighlevel,Zksj53iga8hYgcS6RbXd,12,android,vgEeFvUnX3d9YGEkXZOc,3.98.1,743
ch_3RS0V4B4WEOTAzAb1W4KSLej,2025-05-23 18:39:29,3.50,0.00,usd,true,3.50,0.00,usd,,Payment for invoice 000144,0.14,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RS0VBB4WEOTAzAbDsX1V5sn,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RTC80B4WEOTAzAbomYiDUee,6825ae6c-3b7b-4f1e-b879-9027e911d1f2,6830c0b2a3d42e50b3a43561,SM-G975U1,000144,com.gohighlevel,Zksj53iga8hYgcS6RbXd,12,android,vgEeFvUnX3d9YGEkXZOc,3.98.1,743
ch_3RS0KHB4WEOTAzAb0pRFtY9g,2025-05-23 18:28:21,3.00,0.00,usd,true,3.00,0.00,usd,,Payment for invoice 000143,0.13,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RS0KPB4WEOTAzAboPOkEyyQ,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RTC80B4WEOTAzAbomYiDUee,6825ae6c-3b7b-4f1e-b879-9027e911d1f2,6830be3da3d42e7beca434d6,SM-G975U1,000143,com.gohighlevel,Zksj53iga8hYgcS6RbXd,12,android,vgEeFvUnX3d9YGEkXZOc,3.98.1,743
ch_3RRwbyB4WEOTAzAb13Li2Fik,2025-05-23 14:30:20,3.00,0.00,usd,true,3.00,0.00,usd,,Payment for invoice 000141,0.13,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RRwc3B4WEOTAzAbvKDtXS7I,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RTC80B4WEOTAzAbomYiDUee,0e40f952-7841-4faf-91b5-5b5d2ad970e1,68308675a3d42eb63ea4198b,iPhone,000141,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RRudqB4WEOTAzAb1uWQCyDe,2025-05-23 12:24:09,3.50,0.00,usd,true,3.50,0.00,usd,,Payment for invoice 000140,0.14,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RRudxB4WEOTAzAbPcR13KHO,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RTC80B4WEOTAzAbomYiDUee,b2e7e247-f4d8-4a4d-aa5f-81cc8e555caa,683068e154a5f559536f3e00,iPhone,000140,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.4.1,ios,15s37xHOdcoGGr1fvZMd,3.98.1,743
ch_3RRucEB4WEOTAzAb14gB3zWb,2025-05-23 12:22:30,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000139,0.10,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RRucMB4WEOTAzAbtyLXHBCn,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RTC80B4WEOTAzAbomYiDUee,b2e7e247-f4d8-4a4d-aa5f-81cc8e555caa,6830687d1cea5749f6341945,iPhone,000139,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.4.1,ios,15s37xHOdcoGGr1fvZMd,3.98.1,743
