School,Location (PK),Location2,Location3,City,State,Middle/High School,Business Type,Subject Area,# of store items,Average Yearly Income per Household,Public/ Private,Number of Students,Number of Teachers,,,,
Junior Achievement of Greater Boston,xrgKlpj4eLHqoegqWH8i,JAGB - Happy Back,,Boston,Massachusettes,High,Club Fundraiser,Business,,85000,private ,260,20,,,,
Junior Achievement of Greater Boston,MD9XTSd9TYlwTHU91Guu,JAGB - Harmony,,Boston,Massachusettes,High,Club Fundraiser,Business,,85000,private ,260,20,,,,
Junior Achievement of Greater Boston,IlTHeAkjxwwh5Tk23asy,JAGB - Soothing Stars,,Boston,Massachusettes,High,Club Fundraiser,Business,,85000,private ,260,20,,,,
Junior Achievement of Greater Boston,iKsPMfXHpb72ufGUuJLo,JAGB - The Geni,,Boston,Massachusettes,High,Club Fundraiser,Business,,85000,private ,260,20,,,,
Lake Forest HS,DBM3y5pTClpRimE1VAVS,Sparty Box,,Felton,Delaware,High,Concessions,Business,,70000,Public,814,60,,,,
McKean High School - Culinary,Highlander Cafe,,,Wilmington,Delaware,High,Culinary shop,Culinary,100,55000,Public,1026,58,,,,
McKean High School - HE,Highlander Essentials,Online Sales,McKean Brew & Bake,Wilmington,Delaware,High,School Store & Snack Shop,Students with Autism,88,55000,Public,1026,58,,,,
McKean HS Horticulture,McKean Horticulture,,,Wilmington,Delaware,High,Plant & Flower Fundraiser,Agriculture,213,55000,Public,1026,58,,,,
Middletown HS,Cavs Mart,,,Middletown,Delaware,High,School Store,Business,,95000,Public,1701,104,,,,
Mount Pleasant HS,MPHS Knights,,,Wilmington,Delaware,High,Concessions,Business,40,52000,Public,1100,77,,,,
Mount Pleasant HS,Advisors and Clubs,Athletics,School Programs,Wilmington,Delaware,High,School Store,Principal,140,52000,Public,1100,77,,,,
Mount Pleasant HS,Veronica D'Amico (School Store Manager),Veronica D'Amico (Special Programs),,Wilmington,Delaware,High,Concessions,Students with Autism,44,52000,Public,1100,77,,,,
Newark High School,BPA,DECA,TSA,Newark,Delaware,High,Club Fundraiser,Business,,70000,Public,1069,65,,,,
Odessa High School School Store,Odessa High School School Store,Sips,Sweet Escape Candy Company,Odessa,Delaware,High,Club Fundraiser,Business,140,78000,Public,1190,147,,,,
Odessa High School School Store,Brewtopia,,,Odessa,Delaware,High,Club Fundraiser,Business,23,65000,Public,1190,147,,,,
Odyssey Charter HS,Odyssey Charter FFA,,,Wilmington,Delaware,High,Plant & Flower Fundraiser,Agriculture,4,52000,Public,1926,147,,,,
Odyssey Charter Middle School BPA,RskEsi9YT7ssfLnYXPRJ,OCS Middle School BPA,,Wilmington,Delaware,Middle,Club Fundraiser,Business,,55000,Public,1926,147,,,,
Odyssey Charter School,Odyssey Charter School (BPA/StudentCouncil),,,Wilmington,Delaware,High,School Store,Business,87,55000,Public,1926,147,,,,
Odyssey Charter School - TSA,1DL8nQZboyp5PgPh6EJo,Odyssey Charter TSA Club,,Wilmington,Delaware,High,Club Fundraiser,Technology,7,55000,Public,1926,147,,,,
Seaford High School,Seaford Blue Jays,,,Seaford,Delaware,High,School Store,Business,,48000,Public,797,52,,,,
Sussex Central HS,SCHS CTE Store,,,Georgetown,Delaware,High,School Store,Business,,52000,Public,1821,127,,,,
The Brennen School,Goods N' Goodies,,,Townsend,Delaware,High,Concessions,Students with Autism,,65000,Public,445,89,,,,LEGEND
Warrenton High School,IQSe9z4AlmCY9MoLKJQA,Warrenton Auto & Welding,,Warrenton,Oregon,High,School Store,Auto body,118,,Public,275,17,,,,
Woodbridge High School,cqH570OcwymEkUkhAlYV,,,Bridgeville,Delaware,High,Club Fundraiser,Principal,5,50000,Public,670,45,,,,
Woodbridge School District,3CrfdneHuzrTP0p8V284,,,Bridgeville,Delaware,n/a,Club Fundraiser,School District,14,50000,Public,2500,193,,,,
Woodstown High School,Woodstown Student Store,,,Woodstown,Delaware,High,School Store,Business,,85000,Public,537,52,,,,
